time,upstream_reservoir.water_level,upstream_reservoir.outflow,upstream_reservoir.volume,gate_1.opening,gate_1.outflow,canal_1.volume,canal_1.water_level,canal_1.outflow,downstream_reservoir.water_level,downstream_reservoir.outflow,downstream_reservoir.volume,scenario
0.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
1.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
2.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
3.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
4.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
5.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
6.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
7.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
8.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
9.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
10.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
11.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
12.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
13.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
14.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
15.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
16.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
17.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
18.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
19.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
20.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
21.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
22.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
23.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
24.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
25.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
26.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
27.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
28.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
29.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
30.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
31.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
32.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
33.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
34.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
35.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
36.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
37.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
38.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
39.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
40.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
41.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
42.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
43.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
44.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
45.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
46.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
47.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
48.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
49.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
50.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
51.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
52.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
53.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
54.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
55.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
56.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
57.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
58.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
59.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
60.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
61.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
62.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
63.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
64.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
65.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
66.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
67.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
68.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
69.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
70.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
71.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
72.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
73.0,0.0,0.0,0.0,0.5,0,5000.0,5.0,0.0,0.0,0.0,0.0,integral_delay
