time,upstream_reservoir.water_level,upstream_reservoir.outflow,upstream_reservoir.volume,gate_1.opening,gate_1.outflow,canal_1.volume,canal_1.water_level,canal_1.outflow,downstream_reservoir.water_level,downstream_reservoir.outflow,downstream_reservoir.volume,scenario
0.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
1.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
2.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
3.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
4.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
5.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
6.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
7.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
8.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
9.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
10.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
11.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
12.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
13.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
14.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
15.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
16.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
17.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
18.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
19.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
20.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
21.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
22.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
23.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
24.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
25.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
26.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
27.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
28.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
29.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
30.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
31.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
32.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
33.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
34.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
35.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
36.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
37.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
38.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
39.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
40.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
41.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
42.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
43.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
44.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
45.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
46.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
47.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
48.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
49.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
50.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
51.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
52.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
53.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
54.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
55.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
56.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
57.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
58.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
59.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
60.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
61.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
62.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
63.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
64.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
65.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
66.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
67.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
68.0,0.0,0.0,0.0,0.5,0,5000.0,0.5,0,0.0,0.0,0.0,integral_delay_zero_point
