time,setpoint,water_level,outflow_control,inflow_disturbance
1.0,10.0,13.1111,0,2.0
2.0,10.0,14.2222,0,2.0
3.0,10.0,15.3333,0,2.0
4.0,10.0,16.4444,0,2.0
5.0,10.0,17.5556,0,2.0
6.0,10.0,18.6667,0,2.0
7.0,10.0,19.7778,0,2.0
8.0,10.0,20.8889,0,2.0
9.0,10.0,22.0,0,2.0
10.0,10.0,23.1111,0,2.0
11.0,10.0,24.2222,0,2.0
12.0,10.0,25.3333,0,2.0
13.0,10.0,26.4444,0,2.0
14.0,10.0,27.5556,0,2.0
15.0,10.0,28.6667,0,2.0
16.0,10.0,29.7778,0,2.0
17.0,10.0,30.8889,0,2.0
18.0,10.0,32.0,0,2.0
19.0,10.0,33.1111,0,2.0
20.0,10.0,34.2222,0,2.0
21.0,10.0,35.3333,0,2.0
22.0,10.0,36.4444,0,2.0
23.0,10.0,37.5556,0,2.0
24.0,10.0,38.6667,0,2.0
25.0,10.0,39.7778,0,2.0
26.0,10.0,40.8889,0,2.0
27.0,10.0,42.0,0,2.0
28.0,10.0,43.1111,0,2.0
29.0,10.0,44.2222,0,2.0
30.0,10.0,45.3333,0,2.0
31.0,10.0,46.4444,0,2.0
32.0,10.0,47.5556,0,2.0
33.0,10.0,48.6667,0,2.0
34.0,10.0,49.7778,0,2.0
35.0,10.0,50.8889,0,2.0
36.0,10.0,52.0,0,2.0
37.0,10.0,53.1111,0,2.0
38.0,10.0,54.2222,0,2.0
39.0,10.0,55.3333,0,2.0
40.0,10.0,56.4444,0,2.0
41.0,10.0,57.5556,0,2.0
42.0,10.0,58.6667,0,2.0
43.0,10.0,59.7778,0,2.0
44.0,10.0,60.8889,0,2.0
45.0,10.0,62.0,0,2.0
46.0,10.0,63.1111,0,2.0
47.0,10.0,64.2222,0,2.0
48.0,10.0,65.3333,0,2.0
49.0,10.0,66.4444,0,2.0
50.0,10.0,67.5556,0,2.0
51.0,10.0,68.6667,0,2.0
52.0,10.0,69.7778,0,2.0
53.0,10.0,70.8889,0,2.0
54.0,10.0,72.0,0,2.0
55.0,10.0,73.1111,0,2.0
56.0,10.0,74.2222,0,2.0
57.0,10.0,75.3333,0,2.0
58.0,10.0,76.4444,0,2.0
59.0,10.0,77.5556,0,2.0
60.0,10.0,78.6667,0,2.0
61.0,10.0,79.7778,0,2.0
62.0,10.0,81.7222,0,3.5
63.0,10.0,83.6667,0,3.5
64.0,10.0,85.6111,0,3.5
65.0,10.0,87.5556,0,3.5
66.0,10.0,89.5,0,3.5
67.0,10.0,91.4444,0,3.5
68.0,10.0,93.3889,0,3.5
69.0,10.0,95.3333,0,3.5
70.0,10.0,97.2778,0,3.5
71.0,10.0,99.2222,0,3.5
72.0,10.0,101.1667,0,3.5
73.0,10.0,103.1111,0,3.5
74.0,10.0,105.0556,0,3.5
75.0,10.0,107.0,0,3.5
76.0,10.0,108.9444,0,3.5
77.0,10.0,110.8889,0,3.5
78.0,10.0,112.8333,0,3.5
79.0,10.0,114.7778,0,3.5
80.0,10.0,116.7222,0,3.5
81.0,10.0,118.6667,0,3.5
82.0,10.0,120.6111,0,3.5
83.0,10.0,122.5556,0,3.5
84.0,10.0,124.5,0,3.5
85.0,10.0,126.4444,0,3.5
86.0,10.0,128.3889,0,3.5
87.0,10.0,130.3333,0,3.5
88.0,10.0,132.2778,0,3.5
89.0,10.0,134.2222,0,3.5
90.0,10.0,136.1667,0,3.5
91.0,10.0,138.1111,0,3.5
92.0,10.0,140.0556,0,3.5
93.0,10.0,142.0,0,3.5
94.0,10.0,143.9444,0,3.5
95.0,10.0,145.8889,0,3.5
96.0,10.0,147.8333,0,3.5
97.0,10.0,149.7778,0,3.5
98.0,10.0,151.7222,0,3.5
99.0,10.0,153.6667,0,3.5
100.0,10.0,155.6111,0,3.5
101.0,10.0,157.5556,0,3.5
102.0,10.0,159.5,0,3.5
103.0,10.0,161.4444,0,3.5
104.0,10.0,163.3889,0,3.5
105.0,10.0,165.3333,0,3.5
106.0,10.0,167.2778,0,3.5
107.0,10.0,169.2222,0,3.5
108.0,10.0,171.1667,0,3.5
109.0,10.0,173.1111,0,3.5
110.0,10.0,175.0556,0,3.5
111.0,10.0,177.0,0,3.5
112.0,10.0,178.9444,0,3.5
113.0,10.0,180.8889,0,3.5
114.0,10.0,182.8333,0,3.5
115.0,10.0,184.7778,0,3.5
116.0,10.0,186.7222,0,3.5
117.0,10.0,188.6667,0,3.5
118.0,10.0,190.6111,0,3.5
119.0,10.0,192.5556,0,3.5
120.0,10.0,194.5,0,3.5
121.0,10.0,196.4444,0,3.5
122.0,10.0,198.3889,0,3.5
123.0,10.0,200.3333,0,3.5
124.0,10.0,202.2778,0,3.5
125.0,10.0,204.2222,0,3.5
126.0,10.0,206.1667,0,3.5
127.0,10.0,208.1111,0,3.5
128.0,10.0,210.0556,0,3.5
129.0,10.0,212.0,0,3.5
130.0,10.0,213.9444,0,3.5
131.0,10.0,215.8889,0,3.5
132.0,10.0,217.8333,0,3.5
133.0,10.0,219.7778,0,3.5
134.0,10.0,221.7222,0,3.5
135.0,10.0,223.6667,0,3.5
136.0,10.0,225.6111,0,3.5
137.0,10.0,227.5556,0,3.5
138.0,10.0,229.5,0,3.5
139.0,10.0,231.4444,0,3.5
140.0,10.0,233.3889,0,3.5
141.0,10.0,235.3333,0,3.5
142.0,10.0,237.2778,0,3.5
143.0,10.0,239.2222,0,3.5
144.0,10.0,241.1667,0,3.5
145.0,10.0,243.1111,0,3.5
146.0,10.0,245.0556,0,3.5
147.0,10.0,247.0,0,3.5
148.0,10.0,248.9444,0,3.5
149.0,10.0,250.8889,0,3.5
150.0,10.0,252.8333,0,3.5
151.0,10.0,254.7778,0,3.5
152.0,10.0,255.6111,0,1.5
153.0,10.0,256.4444,0,1.5
154.0,10.0,257.2778,0,1.5
155.0,10.0,258.1111,0,1.5
156.0,10.0,258.9444,0,1.5
157.0,10.0,259.7778,0,1.5
158.0,10.0,260.6111,0,1.5
159.0,10.0,261.4444,0,1.5
160.0,10.0,262.2778,0,1.5
161.0,10.0,263.1111,0,1.5
162.0,10.0,263.9444,0,1.5
163.0,10.0,264.7778,0,1.5
164.0,10.0,265.6111,0,1.5
165.0,10.0,266.4444,0,1.5
166.0,10.0,267.2778,0,1.5
167.0,10.0,268.1111,0,1.5
168.0,10.0,268.9444,0,1.5
169.0,10.0,269.7778,0,1.5
170.0,10.0,270.6111,0,1.5
171.0,10.0,271.4444,0,1.5
172.0,10.0,272.2778,0,1.5
173.0,10.0,273.1111,0,1.5
174.0,10.0,273.9444,0,1.5
175.0,10.0,274.7778,0,1.5
176.0,10.0,275.6111,0,1.5
177.0,10.0,276.4444,0,1.5
178.0,10.0,277.2778,0,1.5
179.0,10.0,278.1111,0,1.5
180.0,10.0,278.9444,0,1.5
181.0,10.0,279.7778,0,1.5
182.0,10.0,280.6111,0,1.5
183.0,10.0,281.4444,0,1.5
184.0,10.0,282.2778,0,1.5
185.0,10.0,283.1111,0,1.5
186.0,10.0,283.9444,0,1.5
187.0,10.0,284.7778,0,1.5
188.0,10.0,285.6111,0,1.5
189.0,10.0,286.4444,0,1.5
190.0,10.0,287.2778,0,1.5
191.0,10.0,288.1111,0,1.5
192.0,10.0,288.9444,0,1.5
193.0,10.0,289.7778,0,1.5
194.0,10.0,290.6111,0,1.5
195.0,10.0,291.4444,0,1.5
196.0,10.0,292.2778,0,1.5
197.0,10.0,293.1111,0,1.5
198.0,10.0,293.9444,0,1.5
199.0,10.0,294.7778,0,1.5
200.0,10.0,295.6111,0,1.5
201.0,10.0,296.4444,0,1.5
202.0,10.0,297.2778,0,1.5
203.0,10.0,298.1111,0,1.5
204.0,10.0,298.9444,0,1.5
205.0,10.0,299.7778,0,1.5
206.0,10.0,300.6111,0,1.5
207.0,10.0,301.4444,0,1.5
208.0,10.0,302.2778,0,1.5
209.0,10.0,303.1111,0,1.5
210.0,10.0,303.9444,0,1.5
211.0,10.0,304.7778,0,1.5
212.0,10.0,305.6111,0,1.5
213.0,10.0,306.4444,0,1.5
214.0,10.0,307.2778,0,1.5
215.0,10.0,308.1111,0,1.5
216.0,10.0,308.9444,0,1.5
217.0,10.0,309.7778,0,1.5
218.0,10.0,310.6111,0,1.5
219.0,10.0,311.4444,0,1.5
220.0,10.0,312.2778,0,1.5
221.0,10.0,313.1111,0,1.5
222.0,10.0,313.9444,0,1.5
223.0,10.0,314.7778,0,1.5
224.0,10.0,315.6111,0,1.5
225.0,10.0,316.4444,0,1.5
226.0,10.0,317.2778,0,1.5
227.0,10.0,318.1111,0,1.5
228.0,10.0,318.9444,0,1.5
229.0,10.0,319.7778,0,1.5
230.0,10.0,320.6111,0,1.5
231.0,10.0,321.4444,0,1.5
232.0,10.0,322.8333,0,2.5
233.0,10.0,324.2222,0,2.5
234.0,10.0,325.6111,0,2.5
235.0,10.0,327.0,0,2.5
236.0,10.0,328.3889,0,2.5
237.0,10.0,329.7778,0,2.5
238.0,10.0,331.1667,0,2.5
239.0,10.0,332.5556,0,2.5
240.0,10.0,333.9444,0,2.5
241.0,10.0,335.3333,0,2.5
242.0,10.0,336.7222,0,2.5
243.0,10.0,338.1111,0,2.5
244.0,10.0,339.5,0,2.5
245.0,10.0,340.8889,0,2.5
246.0,10.0,342.2778,0,2.5
247.0,10.0,343.6667,0,2.5
248.0,10.0,345.0556,0,2.5
249.0,10.0,346.4444,0,2.5
250.0,10.0,347.8333,0,2.5
251.0,10.0,349.2222,0,2.5
