time,simple_tank.inflow,simple_tank.outflow,simple_tank.volume,simple_tank.water_level
0.0,1.5,0,1.5,2.15
1.0,1.5,0,3.0,2.3
2.0,1.5,0,4.5,2.45
3.0,1.5,0,6.0,2.6
4.0,1.5,0,7.5,2.75
5.0,1.5,0,9.0,2.9
6.0,1.5,0,10.5,3.05
7.0,1.5,0,12.0,3.2
8.0,1.5,0,13.5,3.35
9.0,1.5,0,15.0,3.5
10.0,1.5,0,16.5,3.65
11.0,1.5,0,18.0,3.8
12.0,1.5,0,19.5,3.95
13.0,1.5,0,21.0,4.1
14.0,1.5,0,22.5,4.25
15.0,1.5,0,24.0,4.4
16.0,1.5,0,25.5,4.55
17.0,1.5,0,27.0,4.7
18.0,1.5,0,28.5,4.85
19.0,1.5,0,30.0,5.0
20.0,1.5,0,31.5,5.15
21.0,1.5,0,33.0,5.3
22.0,1.5,0,34.5,5.45
23.0,1.5,0,36.0,5.6
24.0,1.5,0,37.5,5.75
25.0,1.5,0,39.0,5.9
26.0,1.5,0,40.5,6.05
27.0,1.5,0,42.0,6.2
28.0,1.5,0,43.5,6.35
29.0,1.5,0,45.0,6.5
30.0,1.5,0,46.5,6.65
31.0,1.5,0,48.0,6.8
32.0,1.5,0,49.5,6.95
33.0,1.5,0,51.0,7.1
34.0,1.5,0,52.5,7.25
35.0,1.5,0,54.0,7.4
36.0,1.5,0,55.5,7.55
37.0,1.5,0,57.0,7.7
38.0,1.5,0,58.5,7.85
39.0,1.5,0,60.0,8.0
40.0,1.5,0,61.5,8.15
41.0,1.5,0,63.0,8.3
42.0,1.5,0,64.5,8.45
43.0,1.5,0,66.0,8.6
44.0,1.5,0,67.5,8.75
45.0,1.5,0,69.0,8.9
46.0,1.5,0,70.5,9.05
47.0,1.5,0,72.0,9.2
48.0,1.5,0,73.5,9.35
49.0,1.5,0,75.0,9.5
50.0,1.5,0,76.5,9.65
51.0,1.5,0,78.0,9.8
52.0,1.5,0,79.5,9.95
53.0,1.5,0,81.0,10.1
54.0,1.5,0,82.5,10.25
55.0,1.5,0,84.0,10.4
56.0,1.5,0,85.5,10.55
57.0,1.5,0,87.0,10.7
58.0,1.5,0,88.5,10.85
59.0,1.5,0,90.0,11.0
60.0,1.5,0,91.5,11.15
61.0,1.5,0,93.0,11.3
62.0,1.5,0,94.5,11.45
63.0,1.5,0,96.0,11.6
64.0,1.5,0,97.5,11.75
65.0,1.5,0,99.0,11.9
66.0,1.5,0,100.5,12.05
67.0,1.5,0,102.0,12.2
68.0,1.5,0,103.5,12.35
69.0,1.5,0,105.0,12.5
70.0,1.5,0,106.5,12.65
71.0,1.5,0,108.0,12.8
72.0,1.5,0,109.5,12.95
73.0,1.5,0,111.0,13.1
74.0,1.5,0,112.5,13.25
75.0,1.5,0,114.0,13.4
76.0,1.5,0,115.5,13.55
77.0,1.5,0,117.0,13.7
78.0,1.5,0,118.5,13.85
79.0,1.5,0,120.0,14.0
80.0,1.5,0,121.5,14.15
81.0,1.5,0,123.0,14.3
82.0,1.5,0,124.5,14.45
83.0,1.5,0,126.0,14.6
84.0,1.5,0,127.5,14.75
85.0,1.5,0,129.0,14.9
86.0,1.5,0,130.5,15.05
87.0,1.5,0,132.0,15.2
88.0,1.5,0,133.5,15.35
89.0,1.5,0,135.0,15.5
90.0,1.5,0,136.5,15.65
91.0,1.5,0,138.0,15.8
92.0,1.5,0,139.5,15.95
93.0,1.5,0,141.0,16.1
94.0,1.5,0,142.5,16.25
95.0,1.5,0,144.0,16.4
96.0,1.5,0,145.5,16.55
97.0,1.5,0,147.0,16.7
98.0,1.5,0,148.5,16.85
99.0,1.5,0,150.0,17.0
100.0,1.5,0,151.5,17.15
101.0,1.5,0,153.0,17.3
102.0,1.5,0,154.5,17.45
103.0,1.5,0,156.0,17.6
104.0,1.5,0,157.5,17.75
105.0,1.5,0,159.0,17.9
106.0,1.5,0,160.5,18.05
107.0,1.5,0,162.0,18.2
108.0,1.5,0,163.5,18.35
109.0,1.5,0,165.0,18.5
110.0,1.5,0,166.5,18.65
111.0,1.5,0,168.0,18.8
112.0,1.5,0,169.5,18.95
113.0,1.5,0,171.0,19.1
114.0,1.5,0,172.5,19.25
115.0,1.5,0,174.0,19.4
116.0,1.5,0,175.5,19.55
117.0,1.5,0,177.0,19.7
118.0,1.5,0,178.5,19.85
119.0,1.5,0,180.0,20.0
120.0,1.5,0,181.5,20.15
121.0,1.5,0,183.0,20.3
122.0,1.5,0,184.5,20.45
123.0,1.5,0,186.0,20.6
124.0,1.5,0,187.5,20.75
125.0,1.5,0,189.0,20.9
126.0,1.5,0,190.5,21.05
127.0,1.5,0,192.0,21.2
128.0,1.5,0,193.5,21.35
129.0,1.5,0,195.0,21.5
130.0,1.5,0,196.5,21.65
131.0,1.5,0,198.0,21.8
132.0,1.5,0,199.5,21.95
133.0,1.5,0,201.0,22.1
134.0,1.5,0,202.5,22.25
135.0,1.5,0,204.0,22.4
136.0,1.5,0,205.5,22.55
137.0,1.5,0,207.0,22.7
138.0,1.5,0,208.5,22.85
139.0,1.5,0,210.0,23.0
140.0,1.5,0,211.5,23.15
141.0,1.5,0,213.0,23.3
142.0,1.5,0,214.5,23.45
143.0,1.5,0,216.0,23.6
144.0,1.5,0,217.5,23.75
145.0,1.5,0,219.0,23.9
146.0,1.5,0,220.5,24.05
147.0,1.5,0,222.0,24.2
148.0,1.5,0,223.5,24.35
149.0,1.5,0,225.0,24.5
150.0,1.5,0,226.5,24.65
151.0,1.5,0,228.0,24.8
152.0,1.5,0,229.5,24.95
153.0,1.5,0,231.0,25.1
154.0,1.5,0,232.5,25.25
155.0,1.5,0,234.0,25.4
156.0,1.5,0,235.5,25.55
157.0,1.5,0,237.0,25.7
158.0,1.5,0,238.5,25.85
159.0,1.5,0,240.0,26.0
160.0,1.5,0,241.5,26.15
161.0,1.5,0,243.0,26.3
162.0,1.5,0,244.5,26.45
163.0,1.5,0,246.0,26.6
164.0,1.5,0,247.5,26.75
165.0,1.5,0,249.0,26.9
166.0,1.5,0,250.5,27.05
167.0,1.5,0,252.0,27.2
168.0,1.5,0,253.5,27.35
169.0,1.5,0,255.0,27.5
170.0,1.5,0,256.5,27.65
171.0,1.5,0,258.0,27.8
172.0,1.5,0,259.5,27.95
173.0,1.5,0,261.0,28.1
174.0,1.5,0,262.5,28.25
175.0,1.5,0,264.0,28.4
176.0,1.5,0,265.5,28.55
177.0,1.5,0,267.0,28.7
178.0,1.5,0,268.5,28.85
179.0,1.5,0,270.0,29.0
180.0,1.5,0,271.5,29.15
181.0,1.5,0,273.0,29.3
182.0,1.5,0,274.5,29.45
183.0,1.5,0,276.0,29.6
184.0,1.5,0,277.5,29.75
185.0,1.5,0,279.0,29.9
186.0,1.5,0,280.5,30.05
187.0,1.5,0,282.0,30.2
188.0,1.5,0,283.5,30.35
189.0,1.5,0,285.0,30.5
190.0,1.5,0,286.5,30.65
191.0,1.5,0,288.0,30.8
192.0,1.5,0,289.5,30.95
193.0,1.5,0,291.0,31.1
194.0,1.5,0,292.5,31.25
195.0,1.5,0,294.0,31.4
196.0,1.5,0,295.5,31.55
197.0,1.5,0,297.0,31.7
198.0,1.5,0,298.5,31.85
199.0,1.5,0,300.0,32.0
