time,inflow_logger.inflow_rate,reservoir_1.inflow,reservoir_1.outflow,reservoir_1.volume,reservoir_1.water_level,valve_1.discharge_coefficient,valve_1.opening,valve_1.outflow,valve_logger.agent_id,valve_logger.control_signal
0.0,2.0,2.0,0.0,2.0,13.11111111111111,0.7,0.0,0.0,valve_pid_control_agent,0.0
1.0,2.0,2.0,0.0,4.0,14.222222222222221,0.7,0.0,0.0,valve_pid_control_agent,0.0
2.0,2.0,2.0,0.0,6.0,15.333333333333332,0.7,0.0,0.0,valve_pid_control_agent,0.0
3.0,2.0,2.0,0.0,8.0,16.444444444444443,0.7,0.0,0.0,valve_pid_control_agent,0.0
4.0,2.0,2.0,0.0,10.0,17.555555555555557,0.7,0.0,0.0,valve_pid_control_agent,0.0
5.0,2.0,2.0,0.0,12.0,18.666666666666664,0.7,0.0,0.0,valve_pid_control_agent,0.0
6.0,2.0,2.0,0.0,14.0,19.77777777777778,0.7,0.0,0.0,valve_pid_control_agent,0.0
7.0,2.0,2.0,0.0,16.0,20.88888888888889,0.7,0.0,0.0,valve_pid_control_agent,0.0
8.0,2.0,2.0,0.0,18.0,22.0,0.7,0.0,0.0,valve_pid_control_agent,0.0
9.0,2.0,2.0,0.0,20.0,23.11111111111111,0.7,0.0,0.0,valve_pid_control_agent,0.0
10.0,2.0,2.0,0.0,22.0,24.22222222222222,0.7,0.0,0.0,valve_pid_control_agent,0.0
11.0,2.0,2.0,0.0,24.0,25.333333333333332,0.7,0.0,0.0,valve_pid_control_agent,0.0
12.0,2.0,2.0,0.0,26.0,26.444444444444443,0.7,0.0,0.0,valve_pid_control_agent,0.0
13.0,2.0,2.0,0.0,28.0,27.555555555555557,0.7,0.0,0.0,valve_pid_control_agent,0.0
14.0,2.0,2.0,0.0,30.0,28.666666666666668,0.7,0.0,0.0,valve_pid_control_agent,0.0
15.0,2.0,2.0,0.0,32.0,29.77777777777778,0.7,0.0,0.0,valve_pid_control_agent,0.0
16.0,2.0,2.0,0.0,34.0,30.88888888888889,0.7,0.0,0.0,valve_pid_control_agent,0.0
17.0,2.0,2.0,0.0,36.0,32.0,0.7,0.0,0.0,valve_pid_control_agent,0.0
18.0,2.0,2.0,0.0,38.0,33.111111111111114,0.7,0.0,0.0,valve_pid_control_agent,0.0
19.0,2.0,2.0,0.0,40.0,34.22222222222222,0.7,0.0,0.0,valve_pid_control_agent,0.0
20.0,2.0,2.0,0.0,42.0,35.33333333333333,0.7,0.0,0.0,valve_pid_control_agent,0.0
21.0,2.0,2.0,0.0,44.0,36.44444444444444,0.7,0.0,0.0,valve_pid_control_agent,0.0
22.0,2.0,2.0,0.0,46.0,37.55555555555556,0.7,0.0,0.0,valve_pid_control_agent,0.0
23.0,2.0,2.0,0.0,48.0,38.666666666666664,0.7,0.0,0.0,valve_pid_control_agent,0.0
24.0,2.0,2.0,0.0,50.0,39.77777777777778,0.7,0.0,0.0,valve_pid_control_agent,0.0
25.0,2.0,2.0,0.0,52.0,40.888888888888886,0.7,0.0,0.0,valve_pid_control_agent,0.0
26.0,2.0,2.0,0.0,54.0,42.0,0.7,0.0,0.0,valve_pid_control_agent,0.0
27.0,2.0,2.0,0.0,56.0,43.111111111111114,0.7,0.0,0.0,valve_pid_control_agent,0.0
28.0,2.0,2.0,0.0,58.0,44.22222222222222,0.7,0.0,0.0,valve_pid_control_agent,0.0
29.0,2.0,2.0,0.0,60.0,45.333333333333336,0.7,0.0,0.0,valve_pid_control_agent,0.0
30.0,2.0,2.0,0.0,62.0,46.44444444444444,0.7,0.0,0.0,valve_pid_control_agent,0.0
31.0,2.0,2.0,0.0,64.0,47.55555555555556,0.7,0.0,0.0,valve_pid_control_agent,0.0
32.0,2.0,2.0,0.0,66.0,48.666666666666664,0.7,0.0,0.0,valve_pid_control_agent,0.0
33.0,2.0,2.0,0.0,68.0,49.77777777777778,0.7,0.0,0.0,valve_pid_control_agent,0.0
34.0,2.0,2.0,0.0,70.0,50.888888888888886,0.7,0.0,0.0,valve_pid_control_agent,0.0
35.0,2.0,2.0,0.0,72.0,52.0,0.7,0.0,0.0,valve_pid_control_agent,0.0
36.0,2.0,2.0,0.0,74.0,53.11111111111111,0.7,0.0,0.0,valve_pid_control_agent,0.0
37.0,2.0,2.0,0.0,76.0,54.22222222222222,0.7,0.0,0.0,valve_pid_control_agent,0.0
38.0,2.0,2.0,0.0,78.0,55.333333333333336,0.7,0.0,0.0,valve_pid_control_agent,0.0
39.0,2.0,2.0,0.0,80.0,56.44444444444444,0.7,0.0,0.0,valve_pid_control_agent,0.0
40.0,2.0,2.0,0.0,82.0,57.55555555555556,0.7,0.0,0.0,valve_pid_control_agent,0.0
41.0,2.0,2.0,0.0,84.0,58.666666666666664,0.7,0.0,0.0,valve_pid_control_agent,0.0
42.0,2.0,2.0,0.0,86.0,59.77777777777778,0.7,0.0,0.0,valve_pid_control_agent,0.0
43.0,2.0,2.0,0.0,88.0,60.888888888888886,0.7,0.0,0.0,valve_pid_control_agent,0.0
44.0,2.0,2.0,0.0,90.0,62.0,0.7,0.0,0.0,valve_pid_control_agent,0.0
45.0,2.0,2.0,0.0,92.0,63.11111111111111,0.7,0.0,0.0,valve_pid_control_agent,0.0
46.0,2.0,2.0,0.0,94.0,64.22222222222223,0.7,0.0,0.0,valve_pid_control_agent,0.0
47.0,2.0,2.0,0.0,96.0,65.33333333333333,0.7,0.0,0.0,valve_pid_control_agent,0.0
48.0,2.0,2.0,0.0,98.0,66.44444444444444,0.7,0.0,0.0,valve_pid_control_agent,0.0
49.0,2.0,2.0,0.0,100.0,67.55555555555556,0.7,0.0,0.0,valve_pid_control_agent,0.0
50.0,2.0,2.0,0.0,102.0,68.66666666666666,0.7,0.0,0.0,valve_pid_control_agent,0.0
51.0,2.0,2.0,0.0,104.0,69.77777777777777,0.7,0.0,0.0,valve_pid_control_agent,0.0
52.0,2.0,2.0,0.0,106.0,70.88888888888889,0.7,0.0,0.0,valve_pid_control_agent,0.0
53.0,2.0,2.0,0.0,108.0,72.0,0.7,0.0,0.0,valve_pid_control_agent,0.0
54.0,2.0,2.0,0.0,110.0,73.11111111111111,0.7,0.0,0.0,valve_pid_control_agent,0.0
55.0,2.0,2.0,0.0,112.0,74.22222222222223,0.7,0.0,0.0,valve_pid_control_agent,0.0
56.0,2.0,2.0,0.0,114.0,75.33333333333333,0.7,0.0,0.0,valve_pid_control_agent,0.0
57.0,2.0,2.0,0.0,116.0,76.44444444444444,0.7,0.0,0.0,valve_pid_control_agent,0.0
58.0,2.0,2.0,0.0,118.0,77.55555555555556,0.7,0.0,0.0,valve_pid_control_agent,0.0
59.0,2.0,2.0,0.0,120.0,78.66666666666667,0.7,0.0,0.0,valve_pid_control_agent,0.0
60.0,3.5,3.5,0.0,123.5,80.61111111111111,0.7,0.0,0.0,valve_pid_control_agent,0.0
61.0,3.5,3.5,0.0,127.0,82.55555555555556,0.7,0.0,0.0,valve_pid_control_agent,0.0
62.0,3.5,3.5,0.0,130.5,84.5,0.7,0.0,0.0,valve_pid_control_agent,0.0
63.0,3.5,3.5,0.0,134.0,86.44444444444444,0.7,0.0,0.0,valve_pid_control_agent,0.0
64.0,3.5,3.5,0.0,137.5,88.38888888888889,0.7,0.0,0.0,valve_pid_control_agent,0.0
65.0,3.5,3.5,0.0,141.0,90.33333333333333,0.7,0.0,0.0,valve_pid_control_agent,0.0
66.0,3.5,3.5,0.0,144.5,92.27777777777777,0.7,0.0,0.0,valve_pid_control_agent,0.0
67.0,3.5,3.5,0.0,148.0,94.22222222222221,0.7,0.0,0.0,valve_pid_control_agent,0.0
68.0,3.5,3.5,0.0,151.5,96.16666666666667,0.7,0.0,0.0,valve_pid_control_agent,0.0
69.0,3.5,3.5,0.0,155.0,98.11111111111111,0.7,0.0,0.0,valve_pid_control_agent,0.0
70.0,3.5,3.5,0.0,158.5,100.05555555555556,0.7,0.0,0.0,valve_pid_control_agent,0.0
71.0,3.5,3.5,0.0,162.0,102.0,0.7,0.0,0.0,valve_pid_control_agent,0.0
72.0,3.5,3.5,0.0,165.5,103.94444444444444,0.7,0.0,0.0,valve_pid_control_agent,0.0
73.0,3.5,3.5,0.0,169.0,105.88888888888889,0.7,0.0,0.0,valve_pid_control_agent,0.0
74.0,3.5,3.5,0.0,172.5,107.83333333333333,0.7,0.0,0.0,valve_pid_control_agent,0.0
75.0,3.5,3.5,0.0,176.0,109.77777777777777,0.7,0.0,0.0,valve_pid_control_agent,0.0
76.0,3.5,3.5,0.0,179.5,111.72222222222221,0.7,0.0,0.0,valve_pid_control_agent,0.0
77.0,3.5,3.5,0.0,183.0,113.66666666666666,0.7,0.0,0.0,valve_pid_control_agent,0.0
78.0,3.5,3.5,0.0,186.5,115.61111111111111,0.7,0.0,0.0,valve_pid_control_agent,0.0
79.0,3.5,3.5,0.0,190.0,117.55555555555556,0.7,0.0,0.0,valve_pid_control_agent,0.0
80.0,3.5,3.5,0.0,193.5,119.5,0.7,0.0,0.0,valve_pid_control_agent,0.0
81.0,3.5,3.5,0.0,197.0,121.44444444444444,0.7,0.0,0.0,valve_pid_control_agent,0.0
82.0,3.5,3.5,0.0,200.5,123.38888888888889,0.7,0.0,0.0,valve_pid_control_agent,0.0
83.0,3.5,3.5,0.0,204.0,125.33333333333333,0.7,0.0,0.0,valve_pid_control_agent,0.0
84.0,3.5,3.5,0.0,207.5,127.27777777777777,0.7,0.0,0.0,valve_pid_control_agent,0.0
85.0,3.5,3.5,0.0,211.0,129.22222222222223,0.7,0.0,0.0,valve_pid_control_agent,0.0
86.0,3.5,3.5,0.0,214.5,131.16666666666666,0.7,0.0,0.0,valve_pid_control_agent,0.0
87.0,3.5,3.5,0.0,218.0,133.11111111111111,0.7,0.0,0.0,valve_pid_control_agent,0.0
88.0,3.5,3.5,0.0,221.5,135.05555555555554,0.7,0.0,0.0,valve_pid_control_agent,0.0
89.0,3.5,3.5,0.0,225.0,137.0,0.7,0.0,0.0,valve_pid_control_agent,0.0
90.0,3.5,3.5,0.0,228.5,138.94444444444446,0.7,0.0,0.0,valve_pid_control_agent,0.0
91.0,3.5,3.5,0.0,232.0,140.88888888888889,0.7,0.0,0.0,valve_pid_control_agent,0.0
92.0,3.5,3.5,0.0,235.5,142.83333333333334,0.7,0.0,0.0,valve_pid_control_agent,0.0
93.0,3.5,3.5,0.0,239.0,144.77777777777777,0.7,0.0,0.0,valve_pid_control_agent,0.0
94.0,3.5,3.5,0.0,242.5,146.72222222222223,0.7,0.0,0.0,valve_pid_control_agent,0.0
95.0,3.5,3.5,0.0,246.0,148.66666666666666,0.7,0.0,0.0,valve_pid_control_agent,0.0
96.0,3.5,3.5,0.0,249.5,150.61111111111111,0.7,0.0,0.0,valve_pid_control_agent,0.0
97.0,3.5,3.5,0.0,253.0,152.55555555555554,0.7,0.0,0.0,valve_pid_control_agent,0.0
98.0,3.5,3.5,0.0,256.5,154.5,0.7,0.0,0.0,valve_pid_control_agent,0.0
99.0,3.5,3.5,0.0,260.0,156.44444444444443,0.7,0.0,0.0,valve_pid_control_agent,0.0
100.0,3.5,3.5,0.0,263.5,158.38888888888889,0.7,0.0,0.0,valve_pid_control_agent,0.0
101.0,3.5,3.5,0.0,267.0,160.33333333333334,0.7,0.0,0.0,valve_pid_control_agent,0.0
