time,inflow_rate
0.0,2.0
0.0,2.0
1.0,2.0
2.0,2.0
3.0,2.0
4.0,2.0
5.0,2.0
6.0,2.0
7.0,2.0
8.0,2.0
9.0,2.0
10.0,2.0
11.0,2.0
12.0,2.0
13.0,2.0
14.0,2.0
15.0,2.0
16.0,2.0
17.0,2.0
18.0,2.0
19.0,2.0
20.0,2.0
21.0,2.0
22.0,2.0
23.0,2.0
24.0,2.0
25.0,2.0
26.0,2.0
27.0,2.0
28.0,2.0
29.0,2.0
30.0,2.0
31.0,2.0
32.0,2.0
33.0,2.0
34.0,2.0
35.0,2.0
36.0,2.0
37.0,2.0
38.0,2.0
39.0,2.0
40.0,2.0
41.0,2.0
42.0,2.0
43.0,2.0
44.0,2.0
45.0,2.0
46.0,2.0
47.0,2.0
48.0,2.0
49.0,2.0
50.0,2.0
51.0,2.0
52.0,2.0
53.0,2.0
54.0,2.0
55.0,2.0
56.0,2.0
57.0,2.0
58.0,2.0
59.0,3.5
60.0,3.5
61.0,3.5
62.0,3.5
63.0,3.5
64.0,3.5
65.0,3.5
66.0,3.5
67.0,3.5
68.0,3.5
69.0,3.5
70.0,3.5
71.0,3.5
72.0,3.5
73.0,3.5
74.0,3.5
75.0,3.5
76.0,3.5
77.0,3.5
78.0,3.5
79.0,3.5
80.0,3.5
81.0,3.5
82.0,3.5
83.0,3.5
84.0,3.5
85.0,3.5
86.0,3.5
87.0,3.5
88.0,3.5
89.0,3.5
90.0,3.5
91.0,3.5
92.0,3.5
93.0,3.5
94.0,3.5
95.0,3.5
96.0,3.5
97.0,3.5
98.0,3.5
